end,start,tweet_count,query
2023-01-25T00:00:00.000Z,2023-01-24T00:00:00.000Z,16,chatgpt employment
2023-01-26T00:00:00.000Z,2023-01-25T00:00:00.000Z,24,chatgpt employment
2023-01-27T00:00:00.000Z,2023-01-26T00:00:00.000Z,11,chatgpt employment
2023-01-28T00:00:00.000Z,2023-01-27T00:00:00.000Z,24,chatgpt employment
2023-01-29T00:00:00.000Z,2023-01-28T00:00:00.000Z,8,chatgpt employment
2023-01-30T00:00:00.000Z,2023-01-29T00:00:00.000Z,16,chatgpt employment
2023-01-31T00:00:00.000Z,2023-01-30T00:00:00.000Z,29,chatgpt employment
2023-02-01T00:00:00.000Z,2023-01-31T00:00:00.000Z,3,chatgpt employment
2023-02-02T00:00:00.000Z,2023-02-01T00:00:00.000Z,47,chatgpt employment
2023-02-03T00:00:00.000Z,2023-02-02T00:00:00.000Z,17,chatgpt employment
2023-02-04T00:00:00.000Z,2023-02-03T00:00:00.000Z,24,chatgpt employment
2023-02-05T00:00:00.000Z,2023-02-04T00:00:00.000Z,11,chatgpt employment
2023-02-06T00:00:00.000Z,2023-02-05T00:00:00.000Z,5,chatgpt employment
2023-02-07T00:00:00.000Z,2023-02-06T00:00:00.000Z,12,chatgpt employment
2023-02-08T00:00:00.000Z,2023-02-07T00:00:00.000Z,22,chatgpt employment
2023-02-09T00:00:00.000Z,2023-02-08T00:00:00.000Z,11,chatgpt employment
2023-02-10T00:00:00.000Z,2023-02-09T00:00:00.000Z,21,chatgpt employment
2023-02-11T00:00:00.000Z,2023-02-10T00:00:00.000Z,118,chatgpt employment
2023-02-12T00:00:00.000Z,2023-02-11T00:00:00.000Z,34,chatgpt employment
2023-02-13T00:00:00.000Z,2023-02-12T00:00:00.000Z,10,chatgpt employment
2023-02-14T00:00:00.000Z,2023-02-13T00:00:00.000Z,33,chatgpt employment
2023-02-15T00:00:00.000Z,2023-02-14T00:00:00.000Z,25,chatgpt employment
2023-02-16T00:00:00.000Z,2023-02-15T00:00:00.000Z,16,chatgpt employment
2023-02-17T00:00:00.000Z,2023-02-16T00:00:00.000Z,10,chatgpt employment
2023-02-18T00:00:00.000Z,2023-02-17T00:00:00.000Z,14,chatgpt employment
2023-02-19T00:00:00.000Z,2023-02-18T00:00:00.000Z,8,chatgpt employment
2023-02-20T00:00:00.000Z,2023-02-19T00:00:00.000Z,3,chatgpt employment
2023-02-21T00:00:00.000Z,2023-02-20T00:00:00.000Z,17,chatgpt employment
2023-02-22T00:00:00.000Z,2023-02-21T00:00:00.000Z,40,chatgpt employment
2023-02-23T00:00:00.000Z,2023-02-22T00:00:00.000Z,18,chatgpt employment
2023-02-24T00:00:00.000Z,2023-02-23T00:00:00.000Z,17,chatgpt employment
2022-12-25T00:00:00.000Z,2022-12-24T00:00:00.000Z,0,chatgpt employment
2022-12-26T00:00:00.000Z,2022-12-25T00:00:00.000Z,11,chatgpt employment
2022-12-27T00:00:00.000Z,2022-12-26T00:00:00.000Z,13,chatgpt employment
2022-12-28T00:00:00.000Z,2022-12-27T00:00:00.000Z,2,chatgpt employment
2022-12-29T00:00:00.000Z,2022-12-28T00:00:00.000Z,2,chatgpt employment
2022-12-30T00:00:00.000Z,2022-12-29T00:00:00.000Z,0,chatgpt employment
2022-12-31T00:00:00.000Z,2022-12-30T00:00:00.000Z,4,chatgpt employment
2023-01-01T00:00:00.000Z,2022-12-31T00:00:00.000Z,1,chatgpt employment
2023-01-02T00:00:00.000Z,2023-01-01T00:00:00.000Z,1,chatgpt employment
2023-01-03T00:00:00.000Z,2023-01-02T00:00:00.000Z,4,chatgpt employment
2023-01-04T00:00:00.000Z,2023-01-03T00:00:00.000Z,16,chatgpt employment
2023-01-05T00:00:00.000Z,2023-01-04T00:00:00.000Z,4,chatgpt employment
2023-01-06T00:00:00.000Z,2023-01-05T00:00:00.000Z,12,chatgpt employment
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,10,chatgpt employment
2023-01-08T00:00:00.000Z,2023-01-07T00:00:00.000Z,6,chatgpt employment
2023-01-09T00:00:00.000Z,2023-01-08T00:00:00.000Z,4,chatgpt employment
2023-01-10T00:00:00.000Z,2023-01-09T00:00:00.000Z,4,chatgpt employment
2023-01-11T00:00:00.000Z,2023-01-10T00:00:00.000Z,5,chatgpt employment
2023-01-12T00:00:00.000Z,2023-01-11T00:00:00.000Z,4,chatgpt employment
2023-01-13T00:00:00.000Z,2023-01-12T00:00:00.000Z,8,chatgpt employment
2023-01-14T00:00:00.000Z,2023-01-13T00:00:00.000Z,8,chatgpt employment
2023-01-15T00:00:00.000Z,2023-01-14T00:00:00.000Z,1,chatgpt employment
2023-01-16T00:00:00.000Z,2023-01-15T00:00:00.000Z,4,chatgpt employment
2023-01-17T00:00:00.000Z,2023-01-16T00:00:00.000Z,4,chatgpt employment
2023-01-18T00:00:00.000Z,2023-01-17T00:00:00.000Z,6,chatgpt employment
2023-01-19T00:00:00.000Z,2023-01-18T00:00:00.000Z,15,chatgpt employment
2023-01-20T00:00:00.000Z,2023-01-19T00:00:00.000Z,7,chatgpt employment
2023-01-21T00:00:00.000Z,2023-01-20T00:00:00.000Z,26,chatgpt employment
2023-01-22T00:00:00.000Z,2023-01-21T00:00:00.000Z,21,chatgpt employment
2023-01-23T00:00:00.000Z,2023-01-22T00:00:00.000Z,7,chatgpt employment
2023-01-24T00:00:00.000Z,2023-01-23T00:00:00.000Z,7,chatgpt employment
2022-12-01T00:00:00.000Z,2022-11-30T00:00:00.000Z,0,chatgpt employment
2022-12-02T00:00:00.000Z,2022-12-01T00:00:00.000Z,0,chatgpt employment
2022-12-03T00:00:00.000Z,2022-12-02T00:00:00.000Z,1,chatgpt employment
2022-12-04T00:00:00.000Z,2022-12-03T00:00:00.000Z,18,chatgpt employment
2022-12-05T00:00:00.000Z,2022-12-04T00:00:00.000Z,17,chatgpt employment
